step,loss,heatmap_loss,heatmap_xy_loss,heatmap_point_nll_loss,heatmap_js_loss
0,1.346310168504715,1.3161283135414124,0.09025677293539047,4.856894850730896,0.2532494142651558
1,1.3342278003692627,1.3048774003982544,0.08236493356525898,4.738449335098267,0.24611946940422058
2,1.2212491035461426,1.1936304867267609,0.07652121316641569,4.262360990047455,0.2335626520216465
3,1.2312395572662354,1.1970705687999725,0.10396422445774078,5.036306619644165,0.29132672399282455
4,1.3433193266391754,1.3198612928390503,0.06206254381686449,3.7468510270118713,0.19711193814873695
5,1.3128785490989685,1.2839744985103607,0.08187641203403473,4.682930171489716,0.24221087619662285
6,1.176927536725998,1.150298297405243,0.08157948590815067,4.2292160987854,0.22400027140974998
7,1.105745106935501,1.0764107704162598,0.08424095995724201,4.597815811634064,0.24736515060067177
8,1.143947720527649,1.117902159690857,0.07113457098603249,3.9197033047676086,0.22125842422246933
9,1.2066380679607391,1.1761659979820251,0.09317607805132866,4.755264461040497,0.25716783106327057
10,1.1803417801856995,1.1539380252361298,0.07501395419239998,4.260599076747894,0.22143159434199333
11,1.089213252067566,1.0672358572483063,0.06148829869925976,3.586088240146637,0.18391336500644684
12,1.0398967266082764,1.0119481682777405,0.08588100969791412,4.243227899074554,0.23705331608653069
13,1.0492774546146393,1.0204350650310516,0.08241374976933002,4.78874945640564,0.24053633958101273
14,1.0737304091453552,1.0474589467048645,0.07510309852659702,4.066537976264954,0.22204934805631638
15,1.103762000799179,1.0760706961154938,0.08610525913536549,4.570459485054016,0.2312084063887596
16,1.0804632008075714,1.0545731484889984,0.07229713909327984,3.9510748386383057,0.21938998997211456
17,1.0448298454284668,1.018347591161728,0.0856340155005455,4.516912937164307,0.21965332329273224
18,1.0089155733585358,0.9824508726596832,0.08398191258311272,4.229530870914459,0.22235157340765
19,1.0033954679965973,0.9757363945245743,0.08582238107919693,4.319687843322754,0.2333935983479023
20,1.0188775956630707,0.9918001592159271,0.08061623945832253,4.15947425365448,0.2291797250509262
21,1.043551504611969,1.0135902762413025,0.08497552201151848,4.666970133781433,0.25294287502765656
22,1.0503542721271515,1.0208225846290588,0.08421874791383743,4.600306034088135,0.24931387603282928
23,1.0476219952106476,1.0177176296710968,0.08754359744489193,4.957735180854797,0.2494661845266819
24,1.0228275954723358,0.995956227183342,0.07683970034122467,4.429662585258484,0.2244170494377613
25,1.0052625387907028,0.9758873879909515,0.08079023286700249,4.707691192626953,0.24667485803365707
26,0.9989132583141327,0.967915415763855,0.08618118707090616,4.84296178817749,0.26154863089323044
27,0.9912678599357605,0.9665504693984985,0.07893804833292961,3.8288248777389526,0.20888563990592957
28,1.0046334266662598,0.9754024296998978,0.07949250936508179,4.450952053070068,0.24780042842030525
29,1.0078094005584717,0.9827901870012283,0.07659806124866009,4.052230000495911,0.20966986194252968
30,1.0125972628593445,0.9864090979099274,0.07227520737797022,4.01812607049942,0.22170046716928482
31,1.019133299589157,0.9887495785951614,0.09170355834066868,5.121253132820129,0.2526245415210724
32,0.9993846863508224,0.9692809134721756,0.08985974825918674,4.828460097312927,0.2527528926730156
33,0.9868160933256149,0.9599946886301041,0.07472836133092642,4.651055574417114,0.22170351073145866
34,0.9742266833782196,0.9486638754606247,0.07352976314723492,4.185476005077362,0.2137732319533825
35,0.9783359915018082,0.9501406848430634,0.07536537200212479,4.430076777935028,0.23765217885375023
36,0.9688707590103149,0.9465827494859695,0.06104000564664602,3.625183880329132,0.18662816658616066
37,0.9850509762763977,0.9562747478485107,0.08164008520543575,4.453234791755676,0.24323007464408875
38,0.9773626327514648,0.9518367499113083,0.07746501453220844,4.001157999038696,0.2152472771704197
39,0.9758795946836472,0.947983518242836,0.07692365534603596,4.5555499792099,0.2334052473306656
40,0.9751800447702408,0.9463417679071426,0.09512745961546898,4.838138580322266,0.24000128358602524
41,0.9582469612360001,0.9282235652208328,0.08857836201786995,4.82518744468689,0.25198204815387726
42,0.9389227479696274,0.9123062044382095,0.08114340528845787,4.127531051635742,0.2248900607228279
43,0.9391845166683197,0.9113590866327286,0.08032180462032557,4.307566940784454,0.2351786457002163
44,0.9363509267568588,0.9094681590795517,0.07622229866683483,4.3533324003219604,0.22529450058937073
45,0.9249343276023865,0.8973367810249329,0.08540323562920094,4.323151111602783,0.2327440343797207
46,0.915757030248642,0.8870659917593002,0.08589117415249348,4.50103223323822,0.24190006777644157
47,0.896925687789917,0.8685522973537445,0.07960766740143299,4.596741795539856,0.23776650056242943
48,0.8659403026103973,0.8389994353055954,0.08249756693840027,4.477153956890106,0.22463729605078697
49,0.7959002256393433,0.7695998698472977,0.08258171379566193,4.072510004043579,0.22227843105793
50,0.7981213927268982,0.7690730392932892,0.08776138909161091,4.691320896148682,0.24357035011053085
51,0.8415568768978119,0.814034178853035,0.0863801408559084,4.39134293794632,0.23131365329027176
52,2.0844902992248535,2.0525130331516266,0.09197892993688583,5.1345096826553345,0.26842741668224335
53,0.7666160315275192,0.7403526157140732,0.07693665660917759,4.138901591300964,0.22124502807855606
54,0.9789052754640579,0.9519260674715042,0.07337276544421911,4.350144386291504,0.2262907810509205
55,0.9559330344200134,0.9264904856681824,0.08476942032575607,4.735837697982788,0.24706704914569855
56,0.8258476406335831,0.797613337635994,0.08901767991483212,4.672207593917847,0.23562099039554596
57,0.783061221241951,0.7564723640680313,0.0779609614983201,4.196824789047241,0.2239202968776226
58,0.8610502481460571,0.8339973986148834,0.07619229517877102,4.135464429855347,0.22917382046580315
59,0.9717910289764404,0.9383907914161682,0.09414511546492577,5.278081655502319,0.28122153878211975
60,0.8990311324596405,0.8691535443067551,0.08612198755145073,4.813291072845459,0.25064292177557945
61,0.8059138059616089,0.7755085229873657,0.08674528636038303,4.7060089111328125,0.25699277967214584
62,0.8026823401451111,0.7714589536190033,0.08882095478475094,5.034721612930298,0.2618866376578808
63,0.7891132533550262,0.758928582072258,0.08468248508870602,4.620370924472809,0.2556430511176586
64,0.8052209764719009,0.7770702242851257,0.08435717970132828,4.453358471393585,0.23697396740317345
65,0.7622032165527344,0.7336502522230148,0.08714408241212368,4.2406851053237915,0.24312297999858856
66,0.698125571012497,0.6727039366960526,0.07830091379582882,3.9556254148483276,0.21466004103422165
67,0.6769125461578369,0.6502930968999863,0.07971092686057091,4.2297393679618835,0.22389715164899826
68,0.5933099687099457,0.5683338195085526,0.07182314991950989,3.9226022958755493,0.21053564175963402
69,0.6932040303945541,0.6590119302272797,0.09508348256349564,5.267810225486755,0.2892428934574127
70,0.6644496023654938,0.6369458884000778,0.07754813693463802,4.409022808074951,0.23094695433974266
71,0.6449151635169983,0.616198405623436,0.08582147769629955,4.56948047876358,0.24147268384695053
72,0.6343839764595032,0.6053553819656372,0.0803473237901926,4.440164685249329,0.24588416516780853
73,0.6964821964502335,0.6657122075557709,0.09676535986363888,5.055613040924072,0.2571438066661358
74,0.6145775765180588,0.5862513482570648,0.0849012415856123,4.893543601036072,0.23432691022753716
75,0.591720461845398,0.5626131594181061,0.08083517197519541,4.637261867523193,0.24470039084553719
76,0.536260336637497,0.5084735080599785,0.08235252741724253,4.4104942083358765,0.23376327380537987
77,0.5495809689164162,0.5175516158342361,0.08571117278188467,5.26255464553833,0.2676680125296116
78,0.6153569221496582,0.5867340564727783,0.08360607177019119,4.793116927146912,0.23829736188054085
79,0.5447680056095123,0.517616517841816,0.07792672701179981,4.293038010597229,0.2285844199359417
80,0.5608984753489494,0.5307764932513237,0.0895545557141304,4.717044234275818,0.2540494278073311
81,0.49168019741773605,0.4640103429555893,0.0801539272069931,4.38110226392746,0.23288756608963013
82,0.49984611570835114,0.47059645503759384,0.0874458234757185,4.555755138397217,0.24693899229168892
83,0.5191690027713776,0.4915586784482002,0.08267194405198097,4.468250870704651,0.2314208447933197
